iter	Passed	Remaining
194	281	1160
195	282	1158
196	283	1157
197	285	1157
198	287	1155
199	288	1155
200	290	1155
201	291	1153
202	293	1151
203	294	1150
204	296	1151
205	298	1149
206	299	1147
207	301	1146
208	302	1145
209	304	1144
210	305	1142
211	307	1143
212	309	1141
213	311	1142
214	312	1142
215	314	1141
216	315	1139
217	317	1139
218	319	1139
219	321	1138
220	322	1137
221	324	1135
222	325	1135
223	327	1133
224	329	1133
225	330	1133
226	332	1131
227	334	1131
228	335	1131
229	337	1129
230	338	1127
231	340	1126
232	342	1125
233	343	1124
234	344	1122
235	346	1121
236	348	1121
237	349	1119
238	351	1117
239	352	1115
240	354	1115
241	355	1113
242	357	1113
243	358	1112
244	360	1110
245	361	1108
246	362	1106
247	364	1106
248	366	1105
249	367	1103
250	369	1101
251	370	1100
252	372	1099
253	373	1097
254	375	1096
255	376	1095
256	378	1094
257	379	1092
258	381	1091
259	383	1091
260	385	1090
261	386	1089
262	388	1088
263	389	1086
264	391	1085
265	393	1084
266	394	1082
267	395	1080
268	397	1078
269	398	1078
270	400	1076
271	401	1074
272	403	1074
273	405	1073
274	406	1071
275	407	1069
276	409	1068
277	410	1066
278	412	1065
279	414	1064
280	415	1062
281	417	1061
282	418	1060
283	419	1058
284	421	1057
285	423	1056
286	424	1054
287	425	1052
288	427	1052
289	429	1050
290	430	1048
291	432	1047
292	433	1046
293	435	1045
294	437	1044
295	438	1042
296	439	1041
297	441	1040
298	443	1038
299	445	1038
300	446	1036
301	447	1035
302	449	1034
303	451	1033
304	452	1031
305	454	1030
306	456	1029
307	457	1028
308	458	1026
309	460	1025
310	462	1023
311	463	1022
312	465	1020
313	466	1020
314	468	1018
315	469	1016
316	471	1015
317	473	1014
318	474	1012
319	475	1011
320	477	1009
321	479	1008
322	480	1006
323	481	1005
324	483	1004
325	484	1002
326	486	1000
327	488	1000
328	489	998
329	490	996
330	492	995
331	493	993
332	495	992
333	497	991
334	498	989
335	500	989
336	501	987
337	503	986
338	505	985
339	506	984
340	508	982
341	510	981
342	511	979
343	512	978
344	515	979
345	528	998
346	530	997
347	531	995
348	533	994
349	534	992
350	535	990
351	537	988
352	538	987
353	539	985
354	541	983
355	542	981
356	543	979
357	545	977
358	546	975
359	547	973
360	549	972
361	550	970
362	551	968
363	553	966
364	554	964
365	555	962
366	556	960
367	558	959
368	560	957
369	561	956
370	563	954
371	564	953
372	565	951
373	567	950
374	569	948
375	570	947
376	571	945
377	573	943
378	575	942
379	576	941
380	578	939
381	579	937
382	581	936
383	582	934
384	584	933
385	585	931
386	587	930
387	588	928
388	590	926
389	591	925
390	593	924
391	594	922
392	596	921
393	597	919
394	599	917
395	600	916
396	602	914
397	603	913
398	605	911
399	607	910
400	608	909
401	609	907
402	611	905
403	613	904
404	614	903
405	615	901
406	617	899
407	619	898
408	620	896
409	621	894
410	623	893
411	625	892
412	626	890
413	628	889
414	629	887
415	631	886
416	632	884
417	634	883
418	635	881
419	637	880
420	638	878
421	640	877
422	642	875
423	643	873
424	644	872
425	646	870
426	647	869
427	649	868
428	650	866
429	652	864
430	653	863
431	655	861
432	657	860
433	658	858
434	659	857
435	661	855
436	663	854
437	664	852
438	666	851
439	667	849
440	669	848
441	671	847
442	672	846
443	674	844
444	675	843
445	678	842
446	679	840
447	680	838
448	682	837
449	684	836
450	685	834
451	686	832
452	688	831
453	690	829
454	691	828
455	693	827
456	694	825
457	696	823
458	697	822
459	699	821
460	700	819
461	702	817
462	703	816
463	705	814
464	706	812
465	708	811
466	709	810
467	711	808
468	712	807
469	714	806
470	716	804
471	717	802
472	719	801
473	720	800
474	722	798
475	724	797
476	726	796
477	727	794
478	729	793
479	731	792
480	732	790
481	734	789
482	735	787
483	737	785
484	738	784
485	740	782
486	741	781
487	743	780
488	744	778
489	746	776
490	747	774
491	749	773
492	750	772
493	752	770
494	753	769
495	755	767
496	757	766
497	758	764
498	759	763
499	761	761
500	763	759
501	764	758
502	766	756
503	767	755
504	769	753
505	770	752
506	772	750
507	773	749
508	775	747
509	777	746
510	778	744
511	779	743
512	781	741
513	782	739
514	784	738
515	786	737
516	788	736
517	789	734
518	791	733
519	793	732
520	794	730
521	796	729
522	797	727
523	799	726
524	801	724
525	802	723
526	803	721
527	805	720
528	807	718
529	808	717
530	810	715
531	811	713
532	812	712
533	814	710
534	816	709
535	817	707
536	819	706
537	821	705
538	822	703
539	824	701
540	825	700
541	826	698
542	828	697
543	829	695
544	831	693
545	832	692
546	834	690
547	835	689
548	837	687
549	838	686
550	840	684
551	842	683
552	843	681
553	844	680
554	846	678
555	847	677
556	849	675
557	850	673
558	852	672
559	853	670
560	855	669
561	856	667
562	858	666
563	859	664
564	861	663
565	862	661
566	864	660
567	865	658
568	867	656
569	868	655
570	870	653
571	871	652
572	873	650
573	874	649
574	876	647
575	877	646
576	879	644
577	880	642
578	882	641
579	883	640
580	885	638
581	886	636
582	888	635
583	889	633
584	891	632
585	892	630
586	894	629
587	896	627
588	897	626
589	898	624
590	900	623
591	901	621
592	903	620
593	905	618
594	906	617
595	908	615
596	910	614
597	911	612
598	912	611
599	914	609
600	916	608
601	917	606
602	919	605
603	921	603
604	922	602
605	924	601
606	931	602
607	932	601
608	934	599
609	935	598
610	936	596
611	938	594
612	939	593
613	940	591
614	942	590
615	944	588
616	945	586
617	946	585
618	948	583
619	949	582
620	951	580
621	953	579
622	954	577
623	955	576
624	957	574
625	959	573
626	960	571
627	961	569
628	963	568
629	965	566
630	966	565
631	967	563
632	969	561
633	971	560
634	972	559
635	973	557
636	975	555
637	976	554
638	978	552
639	980	551
640	981	549
641	983	548
642	984	546
643	986	545
644	987	543
645	989	542
646	990	540
647	992	539
648	993	537
649	995	535
650	997	534
651	998	532
652	999	531
653	1001	529
654	1002	528
655	1004	526
656	1005	525
657	1007	523
658	1009	522
659	1010	520
660	1011	518
661	1013	517
662	1015	516
663	1016	514
664	1018	512
665	1020	511
666	1021	510
667	1023	508
668	1024	507
669	1026	505
670	1027	503
671	1029	502
672	1030	500
673	1032	499
674	1033	497
675	1035	496
676	1036	494
677	1038	493
678	1039	491
679	1041	490
680	1042	488
681	1044	486
682	1045	485
683	1047	483
684	1049	482
685	1050	480
686	1051	479
687	1053	477
688	1055	476
689	1056	474
690	1057	473
691	1059	471
692	1061	470
693	1062	468
694	1063	466
695	1065	465
696	1067	463
697	1068	462
698	1069	460
699	1071	459
700	1072	457
701	1074	456
702	1076	454
703	1077	453
704	1079	451
705	1080	449
706	1081	448
707	1083	446
708	1085	445
709	1086	443
710	1087	442
711	1089	440
712	1091	439
713	1092	437
714	1094	436
715	1095	434
716	1097	433
717	1098	431
718	1100	429
719	1101	428
720	1102	426
721	1104	425
722	1106	423
723	1107	422
724	1108	420
725	1110	419
726	1111	417
727	1113	415
728	1115	414
729	1116	412
730	1117	411
731	1119	409
732	1121	408
733	1122	406
734	1124	405
735	1125	403
736	1127	402
737	1128	400
738	1130	399
739	1132	397
740	1134	396
741	1135	394
742	1139	394
743	1141	392
744	1143	391
745	1145	390
746	1147	388
747	1148	386
748	1150	385
749	1152	384
750	1153	382
751	1154	380
752	1156	379
753	1157	377
754	1159	376
755	1161	374
756	1162	373
757	1164	371
758	1165	370
759	1166	368
760	1168	366
761	1170	365
762	1171	363
763	1173	362
764	1175	360
765	1176	359
766	1178	357
767	1179	356
768	1181	354
769	1183	353
770	1184	351
771	1185	350
772	1187	348
773	1189	347
774	1190	345
775	1192	344
776	1193	342
777	1195	341
778	1196	339
779	1198	337
780	1199	336
781	1201	334
782	1202	333
783	1204	331
784	1206	330
785	1207	328
786	1209	327
787	1210	325
788	1212	324
789	1214	322
790	1215	321
791	1216	319
792	1218	317
793	1220	316
794	1221	314
795	1222	313
796	1224	311
797	1225	310
798	1227	308
799	1229	307
800	1230	305
801	1231	304
802	1233	302
803	1235	301
804	1236	299
805	1238	298
806	1239	296
807	1241	294
808	1242	293
809	1244	291
810	1245	290
811	1247	288
812	1248	287
813	1250	285
814	1251	284
815	1253	282
816	1254	281
817	1256	279
818	1257	278
819	1259	276
820	1260	274
821	1262	273
822	1263	271
823	1265	270
824	1266	268
825	1268	267
826	1269	265
827	1271	264
828	1273	262
829	1274	261
830	1275	259
831	1277	257
832	1279	256
833	1280	254
834	1281	253
835	1283	251
836	1285	250
837	1286	248
838	1288	247
839	1289	245
840	1291	244
841	1292	242
842	1293	240
843	1295	239
844	1297	237
845	1298	236
846	1300	234
847	1301	233
848	1303	231
849	1304	230
850	1306	228
851	1307	227
852	1309	225
853	1310	224
854	1311	222
855	1313	221
856	1315	219
857	1316	217
858	1318	216
859	1320	214
860	1321	213
861	1323	211
862	1325	210
863	1326	208
864	1328	207
865	1330	205
866	1332	204
867	1333	202
868	1335	201
869	1337	199
870	1339	198
871	1340	196
872	1342	195
873	1344	193
874	1345	192
875	1346	190
876	1348	189
877	1349	187
878	1351	186
879	1353	184
880	1354	182
881	1356	181
882	1357	179
883	1359	178
884	1360	176
885	1362	175
886	1363	173
887	1365	172
888	1367	170
889	1368	169
890	1369	167
891	1371	166
892	1373	164
893	1374	162
894	1375	161
895	1377	159
896	1378	158
897	1380	156
898	1381	155
899	1383	153
900	1384	152
901	1386	150
902	1388	149
903	1389	147
904	1390	145
905	1392	144
906	1394	142
907	1395	141
908	1396	139
909	1398	138
910	1399	136
911	1401	135
912	1403	133
913	1404	132
914	1405	130
915	1407	129
916	1409	127
917	1410	126
918	1411	124
919	1413	122
920	1415	121
921	1416	119
922	1418	118
923	1420	116
924	1421	115
925	1422	113
926	1424	112
927	1426	110
928	1427	109
929	1429	107
930	1430	106
931	1432	104
932	1433	102
933	1435	101
934	1436	99
935	1438	98
936	1439	96
937	1441	95
938	1442	93
939	1444	92
940	1445	90
941	1447	89
942	1448	87
943	1450	86
944	1451	84
945	1453	82
946	1454	81
947	1456	79
948	1457	78
949	1459	76
950	1461	75
951	1462	73
952	1463	72
953	1465	70
954	1466	69
955	1468	67
956	1470	66
957	1471	64
958	1473	62
959	1474	61
960	1476	59
961	1477	58
962	1479	56
963	1480	55
964	1482	53
965	1483	52
966	1485	50
967	1486	49
968	1488	47
969	1490	46
970	1491	44
971	1493	43
972	1494	41
973	1496	39
974	1498	38
975	1499	36
976	1501	35
977	1502	33
978	1504	32
979	1505	30
980	1507	29
981	1508	27
982	1510	26
983	1511	24
984	1513	23
985	1514	21
986	1516	19
987	1517	18
988	1519	16
989	1521	15
990	1522	13
991	1523	12
992	1525	10
993	1527	9
994	1528	7
995	1530	6
996	1532	4
997	1533	3
998	1535	1
999	1536	0
