iter	RMSE
0	0.2464053552
1	0.2418418461
2	0.2373692581
3	0.2329899943
4	0.2290088554
5	0.2248135236
6	0.2209733709
7	0.2172535738
8	0.2134419285
9	0.2100528045
10	0.2065358332
11	0.2029906736
12	0.1994276511
13	0.195818846
14	0.1926241676
15	0.189355925
16	0.1864628383
17	0.1835663443
18	0.1806532735
19	0.1774252951
20	0.174163634
21	0.1712241794
22	0.168465934
23	0.1654837459
24	0.1625202072
25	0.1599439087
26	0.1570938621
27	0.1546345507
28	0.152332605
29	0.1499418352
30	0.1473657095
31	0.1447721833
32	0.1424647426
33	0.1401337339
34	0.1379763864
35	0.1355469623
36	0.1333092625
37	0.1311993846
38	0.1290953286
39	0.127200474
40	0.1250830247
41	0.1231038604
42	0.1211264225
43	0.1192931499
44	0.1173310839
45	0.1154401244
46	0.113633217
47	0.1119984904
48	0.1103007926
49	0.1087030332
50	0.1072104387
51	0.1055058156
52	0.1041072983
53	0.1024387004
54	0.1008723541
55	0.09951372823
56	0.09795274349
57	0.09658817289
58	0.09513966878
59	0.09382556425
60	0.0923817461
61	0.09107618845
62	0.08976660802
63	0.08854976434
64	0.08727195819
65	0.08596045161
66	0.08479759919
67	0.08367011526
68	0.08251728823
69	0.08138217909
70	0.08030826758
71	0.07923746597
72	0.07813227205
73	0.07710015514
74	0.07602901655
75	0.07522410122
76	0.07434815598
77	0.0734397824
78	0.07247688744
79	0.07163636665
80	0.07071515912
81	0.06986000123
82	0.06896048233
83	0.06813276359
84	0.06735427097
85	0.06659817616
86	0.06582137661
87	0.06501415738
88	0.06429684547
89	0.06356577504
90	0.06280839344
91	0.06209325493
92	0.06141270905
93	0.06071893765
94	0.06005893811
95	0.05940034463
96	0.05877550818
97	0.05813738217
98	0.05761956976
99	0.05702211975
100	0.05639925249
101	0.05587750898
102	0.05530924291
103	0.05480377811
104	0.05433390964
105	0.05386676367
106	0.05330091083
107	0.05280062133
108	0.05233583493
109	0.05185196408
110	0.05139098014
111	0.0508581389
112	0.05036365284
113	0.04991539446
114	0.0494622511
115	0.04905170447
116	0.04863606308
117	0.04817941358
118	0.04783536866
119	0.04741910127
120	0.04701347645
121	0.04659648109
122	0.04609241312
123	0.04565522065
124	0.04522980649
125	0.04487890335
126	0.0445255494
127	0.04411655212
128	0.04372577752
129	0.04337664367
130	0.04300380217
131	0.04267723019
132	0.04234535799
133	0.04206514464
134	0.04167191054
135	0.04135899817
136	0.04099466373
137	0.04067004396
138	0.04034804878
139	0.04007147912
